Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
1/1/2012,"8.980,0","9.100,0","9.210,5","8.875,0",,"-0,88%"
1/2/2012,"9.010,0","9.005,0","9.180,0","8.870,0",,"0,33%"
1/3/2012,"9.139,0","9.050,0","9.211,0","9.065,0",,"1,43%"
1/4/2012,"9.188,0","9.170,0","9.199,0","9.085,0",,"0,54%"
1/5/2012,"9.390,0","9.192,5","9.612,5","9.147,5",,"2,20%"
1/6/2012,"9.385,0","9.345,0","9.505,0","9.295,0",,"-0,05%"
1/7/2012,"9.440,0","9.385,0","9.547,5","9.305,0",,"0,59%"
1/8/2012,"9.530,0","9.465,0","9.582,5","9.442,5",,"0,95%"
1/9/2012,"9.565,0","9.562,5","9.594,0","9.446,5",,"0,37%"
1/10/2012,"9.600,0","9.590,0","9.632,5","9.573,5",,"0,37%"
1/11/2012,"9.588,0","9.625,0","9.642,5","9.582,5",,"-0,13%"
1/12/2012,"9.630,0","9.591,5","9.740,0","9.591,5",,"0,44%"
1/1/2013,"9.690,0","9.660,0","9.795,0","9.617,5",,"0,62%"
1/2/2013,"9.660,0","9.697,5","9.777,5","9.602,5",,"-0,31%"
1/3/2013,"9.715,0","9.669,5","9.793,5","9.669,5",,"0,57%"
1/4/2013,"9.720,0","9.720,0","9.777,0","9.671,5",,"0,05%"
1/5/2013,"9.790,0","9.725,0","9.815,5","9.722,5",,"0,72%"
1/6/2013,"9.920,0","9.810,0","9.974,0","9.782,5",,"1,33%"
1/7/2013,"10.270,0","9.930,0","10.290,0","9.927,0",,"3,53%"
1/8/2013,"10.910,0","10.280,0","10.955,0","10.277,5",,"6,23%"
1/9/2013,"11.570,0","10.922,5","11.679,5","10.917,5",,"6,05%"
1/10/2013,"11.265,0","11.625,0","11.625,0","10.922,5",,"-2,64%"
1/11/2013,"11.955,0","11.305,0","12.025,0","11.297,5",,"6,13%"
1/12/2013,"12.160,0","11.955,0","12.309,0","11.697,5",,"1,71%"
1/1/2014,"12.205,0","12.225,0","12.307,5","12.020,0",,"0,37%"
1/2/2014,"11.604,0","12.240,0","12.260,0","11.577,5",,"-4,92%"
1/3/2014,"11.355,0","11.615,0","11.672,5","11.250,0",,"-2,15%"
1/4/2014,"11.558,0","11.275,0","11.662,5","11.258,5",,"1,79%"
1/5/2014,"11.670,0","11.545,0","11.675,0","11.340,5",,"0,97%"
1/6/2014,"11.845,0","11.725,0","12.110,0","11.716,0",,"1,50%"
1/7/2014,"11.575,0","11.845,0","12.015,0","11.480,0",,"-2,28%"
1/8/2014,"11.685,0","11.595,0","11.860,0","11.595,0",,"0,95%"
1/9/2014,"12.180,0","11.710,0","12.255,0","11.695,0",,"4,24%"
1/10/2014,"12.080,0","12.172,5","12.252,5","11.965,0",,"-0,82%"
1/11/2014,"12.199,0","12.117,5","12.228,0","12.080,0",,"0,99%"
1/12/2014,"12.380,0","12.235,0","12.940,0","12.235,0",,"1,48%"
1/1/2015,"12.665,0","12.425,0","12.757,5","12.410,0",,"2,30%"
1/2/2015,"12.920,0","12.710,0","12.945,0","12.587,5",,"2,01%"
1/3/2015,"13.070,0","12.975,0","13.248,0","12.900,0",,"1,16%"
1/4/2015,"12.960,0","13.070,0","13.077,5","12.805,0",,"-0,84%"
1/5/2015,"13.223,0","12.985,0","13.243,0","12.976,0",,"2,03%"
1/6/2015,"13.330,0","13.210,0","13.388,5","13.192,0",,"0,81%"
1/7/2015,"13.525,0","13.350,0","13.530,0","13.280,0",,"1,46%"
1/8/2015,"14.045,0","13.507,5","14.140,0","13.474,5",,"3,84%"
1/9/2015,"14.645,0","14.070,0","14.740,0","14.052,5",,"4,27%"
1/10/2015,"13.675,0","14.640,0","14.710,0","13.225,0",,"-6,62%"
1/11/2015,"13.830,0","13.675,0","13.847,5","13.430,0",,"1,13%"
1/12/2015,"13.785,0","13.837,5","14.095,0","13.555,0",,"-0,33%"
1/1/2016,"13.770,0","13.825,0","13.987,5","13.755,0",,"-0,11%"
1/2/2016,"13.367,0","13.760,0","13.825,0","13.297,5",,"-2,93%"
1/3/2016,"13.255,0","13.350,0","13.440,0","12.975,0",,"-0,84%"
1/4/2016,"13.180,0","13.200,0","13.252,5","13.085,0",,"-0,57%"
1/5/2016,"13.655,0","13.210,0","13.695,0","13.140,0",,"3,60%"
1/6/2016,"13.210,0","13.662,5","13.800,0","13.140,0",,"-3,26%"
1/7/2016,"13.097,0","13.180,0","13.192,5","13.071,5",,"-0,86%"
1/8/2016,"13.265,0","13.090,0","13.308,0","13.065,0",,"1,28%"
1/9/2016,"13.047,0","13.275,0","13.284,0","12.920,0",,"-1,64%"
1/10/2016,"13.047,0","13.035,0","13.080,0","12.955,0",,"0,00%"
1/11/2016,"13.550,0","13.032,5","13.587,5","13.030,0",,"3,86%"
1/12/2016,"13.470,0","13.585,0","13.592,5","13.275,0",,"-0,59%"
1/1/2017,"13.347,0","13.485,0","13.497,5","13.270,0",,"-0,91%"
1/2/2017,"13.331,0","13.350,0","13.387,5","13.290,0",,"-0,12%"
1/3/2017,"13.323,0","13.362,5","13.397,5","13.297,5",,"-0,06%"
1/4/2017,"13.327,0","13.322,5","13.347,5","13.250,5",,"0,03%"
1/5/2017,"13.321,0","13.330,0","13.420,0","13.287,0",,"-0,05%"
1/6/2017,"13.325,0","13.312,5","13.327,5","13.274,0",,"0,03%"
1/7/2017,"13.324,0","13.315,0","13.412,5","13.297,5",,"-0,01%"
1/8/2017,"13.342,0","13.317,5","13.382,5","13.301,0",,"0,14%"
1/9/2017,"13.470,0","13.342,5","13.555,0","13.140,0",,"0,96%"
