Tahun,Bulan,Kejadian Longsor,Train,Meninggal,Hilang,Terluka,Mendertia,Mengungsi,Rumah,Pendidikan,Kesehatan,Peribadatan,Fasum,Perkantoran,Jembatan,Pabrik,Kios
2019,Januari,104,0,12,0,29,796,45,289,5,1,9,0,1,4,0,2
2019,Februari,142,0,22,1,36,269,614,278,7,1,4,0,2,2,0,2
2019,Maret,137,0,20,0,25,"1,151","8,486",262,0,0,2,0,0,8,0,2
2019,April,158,0,22,2,17,"1,324","2,604",443,11,0,8,0,1,5,0,2
2019,Mei,45,0,13,0,1,378,223,184,4,1,3,0,2,2,0,0
2019,Juni,30,0,11,3,8,899,52,51,4,0,0,0,0,5,0,0
2019,Juli,4,0,1,0,0,225,5,47,1,0,0,0,0,0,0,1
2019,Agustus,10,0,4,0,1,144,0,18,0,0,0,0,0,1,0,0
2019,September,4,0,1,0,0,23,10,10,0,0,1,0,0,0,0,0
2019,Oktober,16,0,3,0,2,498,19,35,1,0,2,0,0,0,0,0
2019,November,30,0,0,0,3,"1,086",26,44,1,0,1,0,0,2,0,0
2019,Desember,54,0,5,1,8,172,109,97,2,0,2,0,0,0,0,0
2020,Januari,157,0,6,0,7,"2,120",37,336,4,2,3,0,1,7,0,0
2020,Februari,209,0,11,0,13,"8,583",320,388,3,0,6,0,1,9,0,3
2020,Maret,151,0,5,0,13,906,481,428,4,2,2,0,0,9,0,11
2020,April,81,0,22,0,5,259,289,184,1,0,1,0,0,6,0,0
2020,Mei,71,0,8,0,17,"2,443",530,222,2,0,2,0,0,1,0,14
2020,Juni,39,0,5,0,7,523,56,90,0,0,3,0,0,2,0,0
2020,Juli,28,0,1,0,7,178,306,103,2,0,2,0,0,7,0,0
2020,Agustus,32,0,12,0,4,742,41,38,0,0,0,0,0,0,0,0
2020,September,43,0,13,0,12,"1,704",136,134,2,0,0,0,0,2,0,0
2020,Oktober,127,0,16,1,3,"1,397",134,415,4,0,4,0,0,8,0,0
2020,November,87,0,11,7,12,"2,195",183,411,2,0,4,0,0,9,0,4
2020,Desember,135,0,5,0,9,"5,875","2,782",711,6,0,5,0,1,4,0,1
2021,Januari,176,0,50,1,31,"1,307","2,359",405,1,0,1,10,0,10,0,0
2021,Februari,194,0,40,1,45,"1,433","1,119",293,3,0,4,1,1,2,1,1
2021,Maret,116,0,2,0,10,"4,398",622,265,1,0,0,0,0,0,0,0
2021,April,45,0,7,8,5,532,151,71,1,1,0,0,0,2,1,2
2021,Mei,55,0,9,0,14,207,147,60,4,1,1,0,0,0,0,0
2021,Juni,71,0,4,0,16,"1,012",333,W,0,0,1,0,0,1,0,5
2021,Juli,16,0,1,0,1,201,0,24,0,0,0,0,0,0,0,0
2021,Agustus,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2021,September,15,0,1,3,1,16,0,15,0,0,0,0,0,1,0,0
2021,Oktober,46,0,5,0,14,33,123,30,1,0,1,8,0,1,0,1
2021,November,175,0,5,0,3,89,323,122,1,0,1,20,0,1,1,1
2021,Desember,120,0,0,0,0,43,15,60,1,0,1,14,0,4,0,2
2022,Januari,173,0,0,0,6,19,49,30,5,0,0,7,1,6,0,0
2022,Februari,100,0,1,0,0,2,64,94,0,0,4,9,1,3,0,0
2022,Maret,100,0,0,0,-1,150,65,250,6,1,6,109,0,5,9,2
2022,April,42,0,0,0,0,1,4,8,0,0,0,3,0,0,0,0
2022,Mei,52,0,0,0,0,2,19,4,0,0,0,2,0,0,0,0
2022,Juni,51,0,1,1,3,4,185,36,0,0,1,2,0,3,0,0
2022,Juli,21,0,0,0,4,81,16,10,0,0,0,9,0,0,1,0
2022,Agustus,26,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0
2022,September,52,0,1,0,1,0,2,29,0,0,2,4,0,3,0,0
2022,Oktober,157,0,2,0,0,37,12,85,3,0,0,4,0,3,0,0
2022,November,47,0,3,0,0,3,6,11,0,0,0,2,0,1,1,0
2022,Desember,54,0,0,0,0,0,0,13,0,0,0,2,0,1,0,0
2023,Januari,13,0,0,0,0,5,1,18,0,0,0,0,0,0,0,0
2023,Februari,44,0,0,0,1,0,0,14,0,0,0,0,0,1,0,0
2023,Maret,19,0,46,8,4,0,"2,240",52,0,0,1,1,0,1,0,0
2023,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Mei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Juni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Juli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Agustus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Oktober,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Desember,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
