Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Reviews
Xiaomi,FitnessBand,Smart Band 5,Black,2499,2999,AMOLED Display,4.1,Thermoplastic polyurethane,14,
Xiaomi,FitnessBand,Smart Band 4,Black,2099,2499,AMOLED Display,4.2,Thermoplastic polyurethane,14,
Xiaomi,FitnessBand,HMSH01GE,Black,1722,2099,LCD Display,3.5,Leather,14,
Xiaomi,FitnessBand,Smart Band 5,Black,2469,2999,AMOLED Display,4.1,Thermoplastic polyurethane,14,
Xiaomi,FitnessBand,Band 3,Black,1799,2199,OLED Display,4.3,Plastic,7,
Xiaomi,FitnessBand,Band - HRX Edition,Black,1299,1799,OLED Display,4.2,Plastic,20,
Xiaomi,FitnessBand,Band 2,Black,2499,2499,OLED Display,4.3,Plastic,7,
Xiaomi,Smartwatch,Revolve,Black,12349,15999,AMOLED Display,4.4,Silicone,14,2
Xiaomi,Smartwatch,RevolveActive,Black,12999,15999,AMOLED Display,4.4,Silicone,14,3
Xiaomi,FitnessBand,Smart Band 3i,Black,1270,1599,OLED Display,4.2,Thermoplastic polyurethane,7,
OnePlus ,FitnessBand,Steven Harrington Edition Band,Blue,3299,3999,AMOLED Display,4.3,Thermoplastic polyurethane,7,
OnePlus ,FitnessBand,Band,Dual Color,2499,2799,AMOLED Display,4.2,Thermoplastic polyurethane,7,
FitBit,Smartwatch,Versa 2,"Grey, Pink, Black",11999,14999,AMOLED Display,4.3,Silicone,7,
FitBit,Smartwatch,Sense,"Black, Pink, Beige",21499,22999,AMOLED Display,4.2,Elastomer,7,
FitBit,Smartwatch,Versa 3,"Black, Blue, Pink",17999,18999,AMOLED Display,4.3,Elastomer,7,
FitBit,FitnessBand,Charge 4,"Storm Blue, Black, Rosewood",9999,9999,PMOLED Display,4.2,Elastomer,7,
FitBit,FitnessBand,Inspire,Maroon ,7990,7999,LED Display,4.2,Silicone,5,
FitBit,FitnessBand,Inspire 2,"Black, Desert Rose, Lunar White",6999,7999,PMOLED Display,4.4,Thermoplastic polyurethane,10,
FitBit,FitnessBand,Lunar,White ,10899,10999,AMOLED Display,4.7,Silicone,7,
FitBit,FitnessBand,Charge 4,Granite Reflective ,10999,11999,PMOLED Display,4.2,Elastomer,7,
